sample_id,sample_type,top_bottom,latitude,longitude,mountain_range,depth_cm,site_name,notes
Calder.Blank3,blank,,,,,,,
Calder.JC7_Blank1,blank,,,,,,,
Calder.JC7_Blank2,blank,,,,,,,
Calder.JC7_Blank3,blank,,,,,,,
Calder.JC7_Blank4,blank,,,,,,,
Calder.JC7_Blank5,blank,,,,,,,
Calder.JC7_Blank6,blank,,,,,,,
Calder.JC7_Blank7,blank,,,,,,,
Calder.JC_Blank1,blank,,,,,,,
Calder.JC_Blank2,blank,,,,,,,
Calder.JC_Blank3,blank,,,,,,,
MAWC.BLANK,blank,,,,,,,
MAWC.BLANK1_DG1,blank,,,,,,,
MAWC.BLANK2_DG2,blank,,,,,,,
MAWC.BLANK3_DG3,blank,,,,,,,
MAWC.BLANK4_DG4_BLANK4_DG4,blank,,,,,,,
MAWC.CB1A_S,peat,,,,,,,
MAWC.CB1B_S,peat,,,,,,,
MAWC.CB2B_S,peat,,,,,,,
MAWC.CB3A_S,peat,,,,,,,
MAWC.CB3B_S,peat,,,,,,,
MAWC.CB4B_S,peat,,,,,,,
MAWC.CB5B_S,peat,,,,,,,
MAWC.CC1A,peat,,,,,,,
MAWC.CC1B,peat,,,,,,,
MAWC.CC2A,peat,,,,,,,
MAWC.CC2B,peat,,,,,,,
MAWC.CC3A,peat,,,,,,,
MAWC.CC3B,peat,,,,,,,
MAWC.CC4A,peat,,,,,,,
MAWC.CC4B,peat,,,,,,,
MAWC.CL1A,peat,,,,,,,
MAWC.CL1B,peat,,,,,,,
MAWC.CL2A,peat,,,,,,,
MAWC.CL2B,peat,,,,,,,
MAWC.CL3A,peat,,,,,,,
MAWC.CL3B,peat,,,,,,,
MAWC.CL4A,peat,,,,,,,
MAWC.CL4B,peat,,,,,,,
MAWC.CL5A,peat,,,,,,,
MAWC.CL5B,peat,,,,,,,
MAWC.CO1A,peat,,,,,,,
MAWC.CO1B,peat,,,,,,,
MAWC.CO2A,peat,,,,,,,
MAWC.CO2B,peat,,,,,,,
MAWC.CO3A,peat,,,,,,,
MAWC.CO3B,peat,,,,,,,
MAWC.CO4A,peat,,,,,,,
MAWC.CO4B,peat,,,,,,,
MAWC.CP1A,peat,,,,,,,
MAWC.CP1B,peat,,,,,,,
MAWC.CP2A,peat,,,,,,,
MAWC.CP2B,peat,,,,,,,
MAWC.CP3A,peat,,,,,,,
MAWC.CP3B,peat,,,,,,,
MAWC.CP4A,peat,,,,,,,
MAWC.CR1A,peat,,,,,,,
MAWC.CR1B,peat,,,,,,,
MAWC.CR2B,peat,,,,,,,
MAWC.CR3B,peat,,,,,,,
MAWC.CR4B,peat,,,,,,,
MAWC.CU1A,peat,,,,,,,
MAWC.CU1B,peat,,,,,,,
MAWC.CU2A,peat,,,,,,,
MAWC.CU2B,peat,,,,,,,
MAWC.CU3A,peat,,,,,,,
MAWC.CU3B,peat,,,,,,,
MAWC.CU4A,peat,,,,,,,
MAWC.CU4B,peat,,,,,,,
MAWC.FB1A,peat,,,,,,,
MAWC.FB1B,peat,,,,,,,
MAWC.FB2A,peat,,,,,,,
MAWC.FB2B,peat,,,,,,,
MAWC.FB3B,peat,,,,,,,
MAWC.FB4B,peat,,,,,,,
MAWC.FR1A,peat,,,,,,,
MAWC.FR1B,peat,,,,,,,
MAWC.FR2B,peat,,,,,,,
MAWC.FR3A,peat,,,,,,,
MAWC.FR3B,peat,,,,,,,
MAWC.FR4A,peat,,,,,,,
MAWC.FR4B,peat,,,,,,,
MAWC.GG1A,peat,,,,,,,
MAWC.GG1B,peat,,,,,,,
MAWC.GG2A,peat,,,,,,,
MAWC.GG2B,peat,,,,,,,
MAWC.GG3A,peat,,,,,,,
MAWC.GG3B,peat,,,,,,,
MAWC.GG4A,peat,,,,,,,
MAWC.GG4B,peat,,,,,,,
MAWC.GG5A,peat,,,,,,,
MAWC.GG5B,peat,,,,,,,
MAWC.GM1A,peat,,,,,,,
MAWC.GM1B,peat,,,,,,,
MAWC.GM2A,peat,,,,,,,
MAWC.GM3A,peat,,,,,,,
MAWC.GM3B,peat,,,,,,,
MAWC.LB1A,peat,,,,,,,
MAWC.LB2A,peat,,,,,,,
MAWC.LB2B,peat,,,,,,,
MAWC.LB3A,peat,,,,,,,
MAWC.LB3B,peat,,,,,,,
MAWC.LB4A,peat,,,,,,,
MAWC.LB4B,peat,,,,,,,
MAWC.LBFL21_1_0_1_cm,peat,,,,,,,
MAWC.LBFL21_1_10_11_cm,peat,,,,,,,
MAWC.LBFL21_1_12_13_cm,peat,,,,,,,
MAWC.LBFL21_1_14_15_cm,peat,,,,,,,
MAWC.LBFL21_1_16_17_cm,peat,,,,,,,
MAWC.LBFL21_1_18_19_cm,peat,,,,,,,
MAWC.LBFL21_1_20_21_cm,peat,,,,,,,
MAWC.LBFL21_1_22_23_cm,peat,,,,,,,
MAWC.LBFL21_1_2_3_cm,peat,,,,,,,
MAWC.LBFL21_1_24_25_cm,peat,,,,,,,
MAWC.LBFL21_1_26_27_cm,peat,,,,,,,
MAWC.LBFL21_1_28_29_cm,peat,,,,,,,
MAWC.LBFL21_1_30_31_cm,peat,,,,,,,
MAWC.LBFL21_1_32_33_cm,peat,,,,,,,
MAWC.LBFL21_1_34_35_cm,peat,,,,,,,
MAWC.LBFL21_1_36_37_cm,peat,,,,,,,
MAWC.LBFL21_1_38_39_cm,peat,,,,,,,
MAWC.LBFL21_1_4_5_cm,peat,,,,,,,
MAWC.LBFL21_1_6_7_cm,peat,,,,,,,
MAWC.LBFL21_1_8_9_cm,peat,,,,,,,
MAWC.LBFL21_2_11_12_cm,peat,,,,,,,
MAWC.LBFL21_2_1_2_cm,peat,,,,,,,
MAWC.LBFL21_2_13_14_cm,peat,,,,,,,
MAWC.LBFL21_2_15_16_cm,peat,,,,,,,
MAWC.LBFL21_2_17_18_cm,peat,,,,,,,
MAWC.LBFL21_2_19_20_cm,peat,,,,,,,
MAWC.LBFL21_2_21_22_cm,peat,,,,,,,
MAWC.LBFL21_2_23_24_cm,peat,,,,,,,
MAWC.LBFL21_2_25_26_cm,peat,,,,,,,
MAWC.LBFL21_2_27_28_cm,peat,,,,,,,
MAWC.LBFL21_2_29_30_cm,peat,,,,,,,
MAWC.LBFL21_2_3_4_cm,peat,,,,,,,
MAWC.LBFL21_2_5_6_cm,peat,,,,,,,
MAWC.LBFL21_2_7_8_cm,peat,,,,,,,
MAWC.LBFL21_2_9_10_cm,peat,,,,,,,
MAWC.LBFL21_2_warm_15_16_cm,peat,,,,,,,
MAWC.LBFL21_2_warm_25_26_cm,peat,,,,,,,
MAWC.LBFL21_2_warm_29_30_cm,peat,,,,,,,
MAWC.LBFL21_2_warm_5_6_cm,peat,,,,,,,
MAWC.LBFL21_3_11_12_cm,peat,,,,,,,
MAWC.LBFL21_3_1_2_cm,peat,,,,,,,
MAWC.LBFL21_3_13_14_cm,peat,,,,,,,
MAWC.LBFL21_3_15_16_cm,peat,,,,,,,
MAWC.LBFL21_3_17_18_cm,peat,,,,,,,
MAWC.LBFL21_3_19_20_cm,peat,,,,,,,
MAWC.LBFL21_3_21_22_cm,peat,,,,,,,
MAWC.LBFL21_3_23_24_cm,peat,,,,,,,
MAWC.LBFL21_3_25_26_cm,peat,,,,,,,
MAWC.LBFL21_3_3_4_cm,peat,,,,,,,
MAWC.LBFL21_3_5_6_cm,peat,,,,,,,
MAWC.LBFL21_3_7_8_cm,peat,,,,,,,
MAWC.LBFL21_3_9_10_cm,peat,,,,,,,
MAWC.LBFL21_3_warm_19_20_cm,peat,,,,,,,
MAWC.LBFL21_3_warm_3_4_cm,peat,,,,,,,
MAWC.LBFL21_4_11_12_cm,peat,,,,,,,
MAWC.LBFL21_4_1_2_cm,peat,,,,,,,
MAWC.LBFL21_4_13_14_cm,peat,,,,,,,
MAWC.LBFL21_4_15_16_cm,peat,,,,,,,
MAWC.LBFL21_4_17_18_cm,peat,,,,,,,
MAWC.LBFL21_4_19_20_cm,peat,,,,,,,
MAWC.LBFL21_4_21_22_cm,peat,,,,,,,
MAWC.LBFL21_4_23_24_cm,peat,,,,,,,
MAWC.LBFL21_4_3_4_cm,peat,,,,,,,
MAWC.LBFL21_4_5_6_cm,peat,,,,,,,
MAWC.LBFL21_4_7_8_cm,peat,,,,,,,
MAWC.LBFL21_4_9_10_cm,peat,,,,,,,
MAWC.LBFL21_5_10_11_cm,peat,,,,,,,
MAWC.LBFL21_5_12_13_cm,peat,,,,,,,
MAWC.LBFL21_5_14_15_cm,peat,,,,,,,
MAWC.LBFL21_5_16_17_cm,peat,,,,,,,
MAWC.LBFL21_5_18_19_cm,peat,,,,,,,
MAWC.LBFL21_5_20_21_cm,peat,,,,,,,
MAWC.LBFL21_5_22_23_cm,peat,,,,,,,
MAWC.LBFL21_5_2_3_cm,peat,,,,,,,
MAWC.LBFL21_5_4_5_cm,peat,,,,,,,
MAWC.LBFL21_5_6_7_cm,peat,,,,,,,
MAWC.LBFL21_5_8_9_cm,peat,,,,,,,
MAWC.LF1B,peat,,,,,,,
MAWC.LF2B,peat,,,,,,,
MAWC.LF3B,peat,,,,,,,
MAWC.LF4B,peat,,,,,,,
MAWC.LI1A,peat,,,,,,,
MAWC.LI1B,peat,,,,,,,
MAWC.LI2A,peat,,,,,,,
MAWC.LI2B,peat,,,,,,,
MAWC.LI3A,peat,,,,,,,
MAWC.LI3B,peat,,,,,,,
MAWC.LI4A,peat,,,,,,,
MAWC.LI4B,peat,,,,,,,
MAWC.LL1A_J,peat,,,,,,,
MAWC.LL1B_J,peat,,,,,,,
MAWC.LL2A_J,peat,,,,,,,
MAWC.LL2B_J,peat,,,,,,,
MAWC.LL3A_J,peat,,,,,,,
MAWC.LL3B_J,peat,,,,,,,
MAWC.LL4A_J,peat,,,,,,,
MAWC.LL4B_J,peat,,,,,,,
MAWC.LY1A_S,peat,,,,,,,
MAWC.LY1B_S,peat,,,,,,,
MAWC.LY2A_S,peat,,,,,,,
MAWC.LY2B_S,peat,,,,,,,
MAWC.LY3B_S,peat,,,,,,,
MAWC.LY4A_S,peat,,,,,,,
MAWC.LY4B_S,peat,,,,,,,
MAWC.LZ1A,peat,,,,,,,
MAWC.LZ1B,peat,,,,,,,
MAWC.LZ2A,peat,,,,,,,
MAWC.LZ2B,peat,,,,,,,
MAWC.LZ3A,peat,,,,,,,
MAWC.LZ3B,peat,,,,,,,
MAWC.LZ4A,peat,,,,,,,
MAWC.LZ4B,peat,,,,,,,
MAWC.MB1A,peat,,,,,,,
MAWC.MB2B,peat,,,,,,,
MAWC.MB3A,peat,,,,,,,
MAWC.MB3B,peat,,,,,,,
MAWC.MB4A,peat,,,,,,,
MAWC.MB4B,peat,,,,,,,
MAWC.MB5A,peat,,,,,,,
MAWC.MB5B,peat,,,,,,,
MAWC.ME1A_S,peat,,,,,,,
MAWC.ME1B_S,peat,,,,,,,
MAWC.ME2A_S,peat,,,,,,,
MAWC.ME2B_S,peat,,,,,,,
MAWC.ME3A_S,peat,,,,,,,
MAWC.ME3B_S,peat,,,,,,,
MAWC.ME4A_S,peat,,,,,,,
MAWC.ME4B_S,peat,,,,,,,
MAWC.ML1A_J,peat,,,,,,,
MAWC.ML1B_J,peat,,,,,,,
MAWC.ML2A_J,peat,,,,,,,
MAWC.ML3A_J,peat,,,,,,,
MAWC.ML3B_J,peat,,,,,,,
MAWC.ML4A_J,peat,,,,,,,
MAWC.ML4B_J,peat,,,,,,,
MAWC.ML5A_J,peat,,,,,,,
MAWC.ML5B_J,peat,,,,,,,
MAWC.MP1A,peat,,,,,,,
MAWC.MP1B,peat,,,,,,,
MAWC.MP2A,peat,,,,,,,
MAWC.MP2B,peat,,,,,,,
MAWC.MP3A,peat,,,,,,,
MAWC.MP3B,peat,,,,,,,
MAWC.MP4A,peat,,,,,,,
MAWC.MP4B,peat,,,,,,,
MAWC.NF1A,peat,,,,,,,
MAWC.NF1B,peat,,,,,,,
MAWC.NF2A,peat,,,,,,,
MAWC.NF2B,peat,,,,,,,
MAWC.NF3A,peat,,,,,,,
MAWC.NF3B,peat,,,,,,,
MAWC.NF4A,peat,,,,,,,
MAWC.NF4B,peat,,,,,,,
MAWC.PC1A,peat,,,,,,,
MAWC.PC1B,peat,,,,,,,
MAWC.PC2A,peat,,,,,,,
MAWC.PC2B,peat,,,,,,,
MAWC.PC3A,peat,,,,,,,
MAWC.PC3B,peat,,,,,,,
MAWC.PC4A,peat,,,,,,,
MAWC.PC4B,peat,,,,,,,
MAWC.RC1A,peat,,,,,,,
MAWC.RC1B,peat,,,,,,,
MAWC.RC2A,peat,,,,,,,
MAWC.RC2B,peat,,,,,,,
MAWC.RC3A,peat,,,,,,,
MAWC.RC3B,peat,,,,,,,
MAWC.RC4A,peat,,,,,,,
MAWC.RC4B,peat,,,,,,,
MAWC.RM1A,peat,,,,,,,
MAWC.RM1B,peat,,,,,,,
MAWC.RM2A,peat,,,,,,,
MAWC.RM2B,peat,,,,,,,
MAWC.RM3A,peat,,,,,,,
MAWC.RM3B,peat,,,,,,,
MAWC.RM4A,peat,,,,,,,
MAWC.RM4B,peat,,,,,,,
MAWC.RR1A,peat,,,,,,,
MAWC.RR1B,peat,,,,,,,
MAWC.RR2A,peat,,,,,,,
MAWC.RR2B,peat,,,,,,,
MAWC.RR3A,peat,,,,,,,
MAWC.RR3B,peat,,,,,,,
MAWC.RR4B,peat,,,,,,,
MAWC.SG1A,peat,,,,,,,
MAWC.SG1B,peat,,,,,,,
MAWC.SG2A,peat,,,,,,,
MAWC.SG2B,peat,,,,,,,
MAWC.SG3A,peat,,,,,,,
MAWC.SG3B,peat,,,,,,,
MAWC.SG4A,peat,,,,,,,
MAWC.SG4B,peat,,,,,,,
MAWC.SG5A,peat,,,,,,,
MAWC.SG5B,peat,,,,,,,
MAWC.SK1B,peat,,,,,,,
MAWC.SK2B,peat,,,,,,,
MAWC.SK3B,peat,,,,,,,
MAWC.SK4B,peat,,,,,,,
MAWC.SL1A,peat,,,,,,,
MAWC.SL1B,peat,,,,,,,
MAWC.SL2A,peat,,,,,,,
MAWC.SL2B,peat,,,,,,,
MAWC.SL3A,peat,,,,,,,
MAWC.SL3B,peat,,,,,,,
MAWC.SL4A,peat,,,,,,,
MAWC.SL4B,peat,,,,,,,
MAWC.SM1A,peat,,,,,,,
MAWC.SM1B,peat,,,,,,,
MAWC.SM2B,peat,,,,,,,
MAWC.SM3B,peat,,,,,,,
MAWC.SM4A,peat,,,,,,,
MAWC.SM4B,peat,,,,,,,
MAWC.SW1A,peat,,,,,,,
MAWC.SW1B,peat,,,,,,,
MAWC.TF1A,peat,,,,,,,
MAWC.TF1B,peat,,,,,,,
MAWC.TF2B,peat,,,,,,,
MAWC.TF3A,peat,,,,,,,
MAWC.TF3B,peat,,,,,,,
MAWC.TF4A,peat,,,,,,,
MAWC.TF4B,peat,,,,,,,
MAWC.TL1A,peat,,,,,,,
MAWC.TL1B,peat,,,,,,,
MAWC.TL2A,peat,,,,,,,
MAWC.TL2B,peat,,,,,,,
MAWC.TL3A,peat,,,,,,,
MAWC.TL3B,peat,,,,,,,
MAWC.TL4A,peat,,,,,,,
MAWC.TL4B,peat,,,,,,,
MAWC.TL5A,peat,,,,,,,
MAWC.TL5B,peat,,,,,,,
MAWC.TP1A,peat,,,,,,,
MAWC.TP1B,peat,,,,,,,
MAWC.TP2A,peat,,,,,,,
MAWC.TP2B,peat,,,,,,,
MAWC.TP3A,peat,,,,,,,
MAWC.TP3B,peat,,,,,,,
MAWC.TP4B,peat,,,,,,,
MAWC.TX1B,peat,,,,,,,
MAWC.TX2B,peat,,,,,,,
MAWC.TX3A,peat,,,,,,,
MAWC.TX3B,peat,,,,,,,
MAWC.TX4A,peat,,,,,,,
MAWC.TX4B,peat,,,,,,,
MAWC.UP1A,peat,,,,,,,
MAWC.UP1B,peat,,,,,,,
MAWC.UP2A,peat,,,,,,,
MAWC.UP2B,peat,,,,,,,
MAWC.UP3A,peat,,,,,,,
MAWC.UP3B,peat,,,,,,,
MAWC.UP4B,peat,,,,,,,
MAWC.WC1A,peat,,,,,,,
MAWC.WC1B,peat,,,,,,,
MAWC.WC2A,peat,,,,,,,
MAWC.WC2B,peat,,,,,,,
MAWC.WC3A,peat,,,,,,,
MAWC.WC3B,peat,,,,,,,
